comment,star
读完后掉眼泪,5
算是近期不错的口水书了。。。不过越后面故事越弱,3
和大多数职场提升书籍一个毛病，10页纸就能说完的，硬是啰嗦了一本书,3
生活的随性，制陶，烹饪，摄影，手工，，，让自己愉悦就是最好的生活。,4
我是很喜欢的，日记,5
2015.10 一直想找来读的书，终于读到了！,5
职业相关内容比想象中少，目测这个作者主要成就在买房子上...,3
加油吧，少年,3
真学术。也有许多让人怀疑的地方。有些分类真的是名词之争么？,5
前面两章阅读的教学值得一看。,3
很期待银谷的新书，里面的每一个故事都感同身受。,5
2013.3.26就。。还成。。,3
诗不适合我，我一点也不文艺。,3
都市小品。有许多关于爱情生活的思考。,4
有一些语段真是太迷人了,5
很好的一本书，但是文笔不够细腻。,4
满满的童年回忆啊,4
书名就是最好的诠释,5
豆瓣红人的书，绝对不能看刚出版时的书评。十分后悔买了kindle版。,2
很自在，很清明，助你到达自己，更透彻认识自己，去如何做一个真实的人。,4
行为改变态度,4
"明白了很多我们行为背后的秘密
一直很喜欢武志红的说",5
从实践到理论感觉都很符合我的情况，很有启发.,4
读到的最好的灵修书,5
宗萨有新书了 哦也,4
哦对了，还有这本。,5
看完有点理解上海人那些莫名其妙、自以为是优越感和自负是从何而来。,4
总之一句话，人不能懒……,3
为书名而买，但真的不好看,2
世界之大，每个人的看法都不一样，你作何必在意那么多人，活出自己喜欢的就好！,5
这样子的书和QQ空间有什么区别？,1
小説寫得非常扣人心弦，大家能藐視動漫版的盡量藐視。,4
@彭小六 的开山之作！精彩实操接地气，干货真诚高效能,4
结果就是上淘宝充了12块一年的专业版,2
个人感觉开头几篇不如后面的好，很感谢这本书让我又琢磨到了一些新东西,5
什么都是要付出代价的。总之努力就好了！,4
我要成欧文·亚龙的脑残粉了！我要读遍他所有的著作！,5
强烈推荐！,5
强烈推荐已经有宝宝、即将有宝宝和依然是宝宝的人读,5
两个字 别买,2
看了新浪的摘录版，文字很平实，没什么大理论。有些细节值得学习借鉴。已收录pdf。,4
已购。比第一本难许多，不知道什么时候才能练到升旗这样的动作，憧憬一下吧~~,4
在鸡汤里算比较低劣的了……,2
颇实用,5
calm the mind～,3
当我高中时就不断的重读这本书，额，我这是什么心态,4
故做轻松的文字，不对口味，看不下去,1
一个年轻德国人头脑中理想状态下的企业文化。一个简单ppt的深度。,3
翻译成观心更合适。,3
积极心理学，寻找意义、快乐和优势，简化生活,4
共性让人共鸣,4
CBT,5
某些细节描写和比喻还不错，但是故事还是欠缺些灵魂，另外还有错字漏字,3
一息尚存，便按己能尽力,4
一直很喜欢他,4
4.5,4
我是石田衣良脑残粉,4
表达不止写作吧,3
一并葬送的悲伤,4
看了那么一些，淡淡的像风。,3
已购买。,3
没什么内容的书~,2
美国梦其实也并不好实现,4
好看，温暖又有勇气，属于想“多买几本送给朋友”那种书。,4
最后一部分没太看懂，以后有机会再看看,4
“奉献是他与别人拉近关系的唯一方式”,3
多任务处理指南",5
比我之前看过的都更温和、更接近本质。,5
特别特别好。 20180216 年初一读完了一遍,5
2007年给我触动最大的书。,5
"封面幼稚,差点因为封皮党而放弃一本好书",4
都是普通人的朴实故事，有好几个把我读哭了，人物性格挺感人的。,3
台湾小说最好的一点就是干净,4
“突破自卑的壳、突破自轻的贱、突破胆怯的虚、突破失败的惧、越挫越勇，才能奋勇向前。”,4
挺好的一本书，日本的轻小说，都很有意思。但是国内不大喜欢这种，也是不大懂为什么。,4
特喜欢,5
鸡汤其实没有鸡肉有营养。此书不但如鸡汤，还掺水。要是脱了水，估计只剩下100字内容的鸡精。,2
其实这本挺无聊的。,3
内容散乱重复没有重点,3
关系的确是最重要的。作者有结合自己的实际做分享，不错的。,4
虽然书名和书封都很俗，但是，强烈推荐给闺蜜看，这是我看过的三观最正的同类书,4
读完第一篇就哭了。孩子的梦就是妈妈的梦，我的人生也是你的人生。,5
變成現在的樣子不是任何人的責任，那些香噴噴的東西早已品嘗過了,3
哎鸡汤……只是真的多注意身体吧。,2
实践也很重要~不能光看里面的方法却不用它们，不断在寻求适合自己的。。。。,3
比第一本难多了啊 ,3
撒切尔夫人最权威传记,5
正能量+治愈。菲菲的这些文章，其实更适合单独提出来在社交媒体推广。连续阅读不免疲惫。,5
補錄。建議不錯 可惜於實踐看 懶散過分 多有不逮。,4
可以说 是非常用心了,5
一个好的作者，会让你从她的故事里，学到如何观照自己的人生。,5
喜欢她笔下努力的姑娘，也愿你做个认真努力且有力量的姑娘。,4
书柜里的=V=,5
看看,4
还是难免被我归到鸡汤那一类。,2
有些过时，符合大多数的生活方式吧,3
帝都大龄文艺剩女生活指南~（豆瓣上这种心灵鸡汤类的作者和文章怎么如此泛滥）,3
用目的引导思维，而非思维引导目的。,5
九型里比较喜欢的一本,5
风格跟奶糖一样……,4
给全然活在神的恩典中却不自知的我当头一棒。给要加倍享受神恩典的小小毛最棒的礼物。,5
前一半流水式记叙成长经历，有些乏味，后一半讲述在电视节目制作过程中的见闻，读了能有所收获。,3
初看没什么，按照她说的做，能很静心的写字并发现一些寻常且惊喜的事,4
精神分析散文集，有识有义有情怀 推荐,4
是一部值得阅读和收藏的作品。,4
作为这本书的第一读者，读了很多遍，诚意推荐。,5
经典,5
最后几章很唯心主义，看看就好,4
这种书是不是都是检测别人傻的底线在哪里啊？,2
直到现在  我还记得蓝色大门里的每个画面  离第一次看却已过去八年,5
俞老师大概是国内最接地气的企业家,3
带着学者的严谨 理科生的执着 文科生的赤子之心,5
今天买到手的书，一晚上把看完了。为什么别人都那么厉害还那么努力！我都干嘛去了！！！,4
现在真是什么人都能出书了，碎碎念也能写三本书，真能耐。,2
世界观，萌物聚集,5
发现两个错别字之后就不想看了,3
干货满满 方法简单易学 准备从现在开始边读边应用～,5
看得人特喜欢潇洒姐,5
我不想变成糖，我想尝一尝糖的滋味。,5
几乎要忘记了这些细腻又不可明状儿时情绪,4
各种明的暗的显示自己的荣耀，有点视觉疲劳。,2
其实还不错，我们最容易忽视的不就是最简单的道理么？,4
没有第一本出众,3
一天100页，多点少点正好一周看完。传记该有的文字风格，3D立体式描述了撒切尔夫人的一生。,5
准备过年送弟弟的书,4
有些句子有点绕。看到写母亲的章节泪崩了。,3
十六是个好姑娘，阳光从心底透出来。,5
初中的时候看过~~宿舍集体回忆~,4
最喜欢的是旅行的部分。,4
当年买了一本送给了班上一个很自卑的男生，后来姨妈又送了一本给我。其实不如哈佛的《幸福课》。,3
这些事早就内化到骨子里，不用你说了。,3
后浪小学堂020《麦肯锡入职培训第一课》让职场新人一生受用的逻辑思考力~,5
看的是 评论+各章节标题。,4
"非常全面的九型人格研究著作
",4
神秘的文字，字还是那个字，高手写出共鸣……,5
这个人没有四肢的生活，比我们健全人要更完整,5
将叶芝称为情圣不为过！,5
真的躲在被窝里把他看完,4
可不可以让我回去,5
刺痛。,3
揭露职场最本质的一面,4
在高考放假的一天安静读完，普通小人物的一生，让人唏嘘不已，也刚好可以安慰最近起伏不定的心。,4
书做得很漂亮……以及，哎，青春啊！！！！！！,4
还不如曾子墨,1
版本不一样,4
三部曲整体读下来会发现内容重复繁多,3
尽兴，是拼搏的人生所能享有的独特权利。,4
没有日本治愈系的稳定，每一幕都在赶场。,3
鸡汤文看多了会腻，不过还是会被某些句子打动,3
热闹的日本中学生青春,5
还是有点尴尬，尽然看了三天后，脑袋没有留下东西。,2
"印象笔记的使用提供了一些思路,不过很多方面自己之前都有使用和实践,贵在坚持与整理!",4
下次再不只看名字就冲动了。,3
蛮欣赏作者的生活态度。,4
日本人果然是天然萌啊,3
"新意不多，部分足矣
",4
作为第一本的辅助内容还是相当不错的，打算在目前的锻炼日程中增加两天这本书里的练习。,4
有一些不太适合中国大学，减一星,4
关于自然 冥想 工作 的书，内容一般，但是插画蛮精美的。,3
区分鸡汤类的口水书和有内涵的书的方法之一，大概就是讲故事的高明与否和作者的文化程度吧。,4
"还行,比较真实的小学生生活",4
鸡汤,2
语言太差,1
part3不怎么读的进去,3
看之前以为散文随笔，看之后发现是生活日记，看书不能太标题党，,2
然并卵,2
不错之处在于提出的论点比较实际到位，提供的方法比较具体。论述的角度比较客观。,4
以前大二时看的！ (*^__^*) 嘻嘻……  不错！ ,4
感觉很一般啊 文字功底两颗星不能再多,2
励志书很多，这一本真的有用。,5
池袋西口公园系列之后好久没看过石田衣良了!!还是丁丁虫老师翻译的w,3
回忆始终，纪念如初。,3
真喜欢真好看。顺便想起了高中时读这书产生的段子。。。。,5
没有什么是必须做的事，只有必须做的人——自己"。发现真我之旅。",4
新书各大网店已到货，请各位豆友帮忙点个想读吧！,5
一针见血。,4
东北现代版《俗世奇人》,4
高中时候读《忏悔录》的动机在这本书的阅读过程中得到了解答。值得跟全家分享的一本书。,4
就冲老俞读几千本书的多年坚持和保持初心，我给满分。,5
很无耻的又一本鸡汤书，然而还是会感慨有一些大实话没有早些了然。,3
每次看到那么秀的同龄人还那么努力，真的是自愧不如,5
蛮幼稚的,3
要把这个世界，让给鄙视你的人。,5
鸡汤界的败类，傻逼澳洲高华写手，每天吃翔产生正能量。,1
最近正在看，继续把凉宫看完。,4
风筝和闪电的故事激励了无数少年触电,4
就这样。,2
"获得一些有益的思路，
但仍感觉不成体系。逻辑性也不太强",3
"保持好心态
",3
如何能＇无我＇又能做自己？"",5
"说的大多是都明白的道理,但真正能做到却没那么容易了~",3
如果有肌肉在就不会摔那么严重,4
女人是感性的，但是，理性的女人比男人更理性。世界需要更理性的女性领导。,5
清新派鸡汤，某些教导你如何做女人的观点不是很同意。,4
一般 还是太鸡汤了,3
十六的新书，自然要大力支持，所有的好姑娘们，你们会喜欢这本书的。,5
"因为再热也热不过初恋认识了作者，也觉得这是唯一一个每次看都会心痛的故事
",4
我为什么会买这本书？完全不是想要的内容,2
喜欢写人写故事的部分~,4
初见时惊为天人,5
【2015.5.13~5.19】写书评了。,3
感觉健康级别那边讲得有点过细然后忽略了很多其它的信息,4
接近残障人员越发感慨要珍惜自己的健康生活~,5
80年代末上海的气息，和一直延续至今的精神特质的某个极端的侧面。,3
这是我目前读过最好的心理学读物之一！,5
反党反社会的一本书。,5
边看边骂傻逼的一本书，呵呵。,1
有点消费别人苦难的意思吧,4
中学看的书，从那个恶俗的书友会买的,3
不真挚的自圆其说,2
“人生近看是悲剧，远看就是喜剧”,4
很棒的书！喜欢~,5
凉宫春日的叹息,5
和曾国藩的比较会很有意思，亦可见美国立国前各殖民地的政治经济风貌。,5
开头部分还行……,2
御姐范儿是我的目标！,3
看第一章欧文亚隆说他在游乐园的那个梦，我就哭了,4
看的比较坎坷。,4
父亲究竟向母亲提了什么要求，似乎到最后也没有交代？你特么在逗我？没看出什么特别的萌点。,3
写的一般 但意义不一般,4
在1的基础上更加细化地介绍一些部位的训练,4
看铁娘子的一生，想了解英国就不得不看她，这是个传奇女性,5
扫读标题，挑几个表意含混或目的不明的章节阅读，一刻钟也能学到些东西。,4
什么是无比正确的生活？没有人能够定义，无需攀比，适合自己的才是最好的生活。,4
恭喜十六。用力生活的姑娘，用心讲述的故事。,5
眼泪这种东西呀，看起来只有雨点那么大，里面所包含的感情却是整个地球都无法承载的。,5
不推荐，一些分析比较意识形态化，看过心理学再看这个完全看不下去…,1
作者为哈佛幸福课授课教授,5
还行吧,3
傻吊,3
浅显易懂不学术。,3
"我为我买了这本书而略感羞愧。为我看了一篇即放下而欣慰。
诚挚建议各位：超过15岁就别读了。",2
推荐这本书，不是常规意义上面的励志。真的觉得很棒~,4
不晓得谁买了放在公司的。为什么我们公司总是会放一些劝员工辞职的书？,3
就像上海之吻中的故事一样，但是比之更细腻曲折辛酸,4
熬夜没什么稀奇的。早睡早起才令人钦佩。,3
愿有人听你无病呻吟,2
一开始太心灵鸡汤了，差点儿就没读下去,4
写文艺的部分很触动人，时事部分则明显乏力。另外很多篇目结尾总有刻意的上扬，像是自我安慰。,4
没有阅读价值,1
读了摘要,4
看着让人流泪的故事,4
书最精彩的是，还有一个后记4.每个人都能成为别人的蓝色大门。,5
人生哲理占了很大篇幅 实践出真知 写的挺中肯 “有人爱 有事做 有期待”,3
非常一般，内容空洞。,3
让人耳目一新的理念，值得一读,4
1时间2充实自己【优秀的人，是指学识见识和态度。】,3
唯氣韻和常識尚未過時,3
"书还OK，挺想尝尝她的“meal salad"",3
最喜欢让电影消失的那一章，很多共鸣,4
不过别人指定的生活，就是年轻，就是任性，哈哈哈,5
豆瓣阅读这是准备把自己搞死的节奏。,1
进度 2/10""",5
"富兰克林节律表,OK.",4
读过《搞定》之后，再来看这本书，会对作者的很多方法有更好的理解,5
推荐给每个在亲密关系中有困惑的人。,5
潇姐霸气威武不解释！！！,5
还是关于亚隆的核心议题－－亲密、死亡、陪伴、关系的建立。,4
在主旨上与第一本有大量的重复，最后一章相对较好。,3
日式小暖文。你好爸爸，再见爸爸。,5
好看。,5
前半部讲述不如我的众生，奇葩大集合；后半部是绿茶表养成手册，精分文章比比皆是。,2
大学新生必备。建议挺中肯。生活不必追求完美。,4
又一本类似的书，对大自然和伊壁鸠鲁快乐主义的接近,3
现在看这种小故事们实在是无感……,3
十六的新书，十六姐，不是石榴姐~~~,4
讲故事的方式我不喜欢。而且故事讲得也不出彩~弃书,2
值得职场菜鸟阅读,5
爱自己，爱生活。过好每个当下是每个人都可以做的选择。宁静、美好。,4
在cheers最后的一本书。,3
让逻辑思维改变你的一生！,5
赐我以安宁，容无奈之事；赐我以勇气，为可为之事；赐我以智慧，明二者之差异。,5
有文艺青年喜欢的一切要素，写作，绘画，电影，美食，恋爱。很梦幻，很美好。,5
大多数人所相信的真理，只不过是真理最黯淡的影子。,4
别国。荒凉。,3
梁先生真是个诚恳的，向上心的谦谦君子。,4
"做一棵成长的苹果树
孩子在为谁而玩的动机
把一张纸折叠51次的规划
",5
道理固然是对的，只是作者对童年家庭的怨恨还没有完全消除吧，隐约带到了书中。,3
论流氓编辑为什么能做出这么美的书。,5
作者很美,5
看点是总统家的教育方式，绝对区别于中国大部分领导人的教育。令人敬佩的家教，以及朴母的贤惠。,4
德国人写的书，重点部分已写书评。,4
淡淡的文字娓娓道来，对生命的思考，对人生的感悟。,4
强烈推荐,5
看了一篇网推文买的，买完发现序最佳。,3
相见恨晚,5
胡老先生的见解非常独到，视野开阔。其中有一句，一切变革都是重新估定价值，有道理。,5
不随波逐流，做自己，活出自己的特色，演绎不一样的精彩人生。,4
大部分都是空话套话,1
我還真是不喜歡実玖瑠。,3
2012.1.5,3
这本书一天看完，个人的感想 书名十分地鸡汤，但是书却是干活满满。,5
我所要说的，都在这里了。以后有遇到相关问题的，都介绍先去读书吧。,5
挺逗的，消遣书,4
并非人人都是受过伤的医治者。。。,4
能让人安静下来，体会澄澈与清明。,4
"关节那章很有用！
",3
文笔很赞！,5
重视投资、提前开始、节省压力、管理情绪。观念为王,5
说实在，太多方法，没有解释清楚，成了杂七杂八的绘本。。。,3
爱与自由～见贤思齐,4
也许只有有心的人才能写出这么多真实的故事。,5
除了耳熟能详那几篇好看，其他的都一般吧。（3星）,3
不说写作能力之差，就连个有用的例子都举不出来，真是看的窝火,2
很清新.很易读.很文艺.,4
豆瓣出品，一星不谢,1
"Eric Berne 集大成之作,整理笔记ing",5
反鸡汤的书，但是翻译非常“贾秀琰”。,4
你去你的未来，我去我的未来。,5
主题其实很好，但：书里空话太多没有重点；硬件不足也不够沉稳，没忍住在行文间自夸。,2
江浙女人岂有不爱陈丹燕的道理？,5
自然 这不是放了鸡精的汤 是自来水煮出的温吞水 满纸寻常 满纸口水... ,2
作者的文笔真是看得让人上火，通篇什么傻x什么x什么x真是够了，再回炉重造一下学学语文吧,2
学问即要学而有问,4
书本身内容就好，而且推荐了6-7本此领域作者觉得好的书籍，可谓一串葫芦，方便了读者。,5
“我们的王国存在于我们心中。”,4
不要买，请别浪费钱。,2
我的孩子一定要比她的爸爸自由，比她的妈妈快乐，比她的父母都更懂得怎样去爱。,4
推荐~书也很美,5
你想要怎样的职场生活？在一些管理方式上是否依然存在误区和不理解？,4
平民的故事，身边人的故事，平凡人的一生,5
小说应该是在电影基础上完成的，对于孟克柔的同性恋心理描写很清晰。,5
老俞的踏实勤奋是我一直最敬佩的,3
“一个人的幸福力的觉醒是从对自身的了解开始的。”,4
这本书教你如何摆脱费力低效的人生，发现自己身边的无限可能，揭秘成功。,5
没有一生,1
经历是很丰富，但文笔欠佳，排比句看到后来都快看吐了！翻来覆去几件事，有凑字数之嫌。,2
从十个遗愿清单到孩子的十个优点，妈妈的内心让人感动,3
生活就是要活出自己的精彩！,4
这本讲的是拍电影那段。,4
自律的完美主义者。,4
现在还有人用 evernote 吗？ 为什么不用google doc？ ,3
#2013061#,4
有些语句还是醍醐灌顶滴。,3
第5章《双重曝光》和精彩。,4
和前几日体验极其相似，幸好及时读到这本，明白了执着于这种体验会是新的陷阱。,5
温暖的父女故事。要是拍成电影一定也不错。,4
真诚，令人深思。,4
在1的基础上补充了对身体其余部位的锻炼方法，仍然强烈推荐。,4
很好 一篇不差读完了 给女孩子看的书 独立自信自我修炼 这样的女人一定可以很好的在社会立足,4
作为一准研究生，看到这些，真想骂自己大学怎么度过的~,5
配合app效果+1,4
不管在爱情、亲情、友情里，都要把完善自己放在第一。,4
刚收到这本书，京东上的，应该还不错吧，看了一篇 老板，来份鸡蛋炒饼,4
爱到处听故事，然后拿来自己随便改改，就有故事了。,2
排版,4
案例探究不及国内普遍心理病证的观察得来的结论易懂,3
看见的不一定是真实，看不见的不一定不存在。,4
都是大实话呦,5
一个男屌丝变成凤凰男甩了女屌丝追求白富美最后被抛弃的故事,4
任何一本心灵鸡汤都逃脱不了看完目录就知道内容的命运。,2
画面感极强，如果能拍成美剧，一定会非常好看~,5
翻了翻感觉还不错。并没有太多新鲜的观点，还是例行的鸡汤文合集。跟主题关系并不大。,3
内容总感觉反反复复的,3
看到作者从豆瓣连载到出书，也是很高兴的一件事啊。,4
主要是几篇对童年的自序和几篇演讲，名人效应更强，可学之处无几。,3
只有婚姻运作正常，孩子才有机会健康成长。,5
毕竟收录了自己的，当然要力荐,5
我们的人生，曾有很多次机会可以与现在不同，但我们都错过了，甚至是心甘情愿地错过了。,4
学校是自由的，但并不是不重视读书。,5
命中自有安排。。,5
张世豪，我就是想追你啊，酱紫~,4
打破幻想，接受现实。,4
守正出奇,4
活着就是不断营销自己的过程,3
初中时读的,3
"喜欢里面的行动力
",4
长门咬实久留的样子激萌啊啊啊啊啊啊,5
写的好简单的。生活本来就是很简单的道理,3
木有啥硬货,2
能直接把“妈妈”和“生命的意义”放在一起，可见作者的勇气。,5
比较浅显,2
我得多读童书。。。,5
人生就是一场得与失的较量。死亡这个课题让人给生命里的一切重新排序。,5
第二本,4
鸡汤文,2
垃圾,1
只想说，这本书实在太美了！,5
全书就第一个故事好，后面的都磨磨唧唧,3
用心生活。,4
欢迎关注万千心理官方微信：wanqianxinli1998,5
有趣生动的文字。好奇自己的灵光是什么颜色的,5
看了试读以后发现大部分故事就是来来去去的讲，不值得花钱,1
比起虚无缥缈的吸引力法则，见效快。困住你的，只有你编的故事。,5
如果我是高加林，依然不知道如何选择。,4
鸡汤类 有些观点可以参考 但后劲儿不足 文章得独立看 不然有的自相矛盾,3
废话啰嗦 有种微弱的南方小说感,3
万物待我如亲人，我对他们如陌路。,4
"虽然具体情节已经忘了，不过当时的感觉还是记忆犹新。
是我最早接触的当代现实主义作品之一。",4
翻译用了”给力“这个词把我吓到了,3
一直在点头的书,4
看完好书之后看这种书觉得有点难忍。,3
思考得深何惧“实用”,4
写的易懂好读~对自己严苛的人，必然对他人也特别挑剔。,4
阮老师推荐。妈的我看哭了……,5
无病呻吟的一本书。。。,1
超级成功手段。,5
只看了几篇，不好。,3
比较适合发在公众号上，不适合出书，怎样的一种鸡汤啊这。,2
很真诚的一本书，学会了不要架起围墙，而要给别人钥匙。自由和快乐永远都是很重要的。,5
讲了很多大实话,4
爸爸的礼物,4
对于看书困难户的我来说真是一本好啃的书，不过让我陷入了逻辑怪圈,4
要做就做自己！,4
虽然我真的觉得这类书写得不怎样，但是迷恋能给我带来一段时间正能量。,5
拍电影（←如果可以这么称呼的话。。。。）就拍了一本书啊。。。,5
记录了富兰克林大半生的经历，主要提及到了美德记录表。其次，感触不是特别深刻。,3
心灵鸡汤可以不读，但方法论的工具书应该早读,4
失望。大概预期太高。,2
这类书写着写着总是虎头蛇尾。。有空再看看其他几本,4
很想推荐给亲朋好友的一本书。,5
带给我的问题，人在年轻的时候奉行功利主义原则做事情真的好吗,4
这种书看多了，有点无感,3
看起来每一条都很在理，可关键是如何整合继而行动啊!!!不能当鸡血只兴奋那么一小会儿啊!!,3
突然看完这本书我想在背后纹一个小小的纹身。,5
作者至始至终一直坚持写作，用一篇篇短文浓缩出对生活，自由，婚姻的感悟。真好。,4
号外！十六姑娘出书啦~~~,5
倒是比想象要好。,4
不够简洁，缺少实证，有待重读。,3
2013.5.29感觉。。略扯淡啊。。,3
真的没什么营养，真的，整个一本书就像是PPT改的，太浪费钱了。,2
刷新我阅读文字书的最快速度记录,2
我来呵呵两声。呵呵,1
分析社会特征和时代潮流，为人处世的重点、难点、痛点，帮年轻人明白奋斗的意义。,4
奇书！！！看完后我满脑子都是一念之转，心态大幅逆转><,5
人生的道路虽然漫长，但紧要处常常只有几步，特别是当人年轻的时候。,5
问评论的各位真的读过书吗？？你们捧臭脚装文化人的毛病能不能改改？？？恶心不？？？,1
这是男孩崔佛的成长故事，这场一个人的旅程始于希望，也唤醒了希望。,5
中午在言几又翻完了，比较初级，只对最后几页提到的冥想和crossfit比较有兴趣。,2
其实书跟书名还蛮匹配的，就是无聊的瞎想，我心情也不太好,4
没看过电影，小说镜头感十足，起承转合处尽有光影流动。,4
好小儿科的心理辅导,2
一直有关注她的文章 觉得很有趣 这本书也推荐读一下 还蛮有趣的,4
「年轻的时候不要伤害自己的身体，不要在年老的时候后悔年轻时没有照顾好自己，少手淫」,3
这是一本必读书。,5
学会浪费。,5
如同童年夏天的味道，看完两个念想，一生个孩子，二去学摄影。,5
做法多半同意，理论多半不同意,4
"想要这本书的我二十元转卖。
",3
写的很多 说了很少,2
不错的观点，职场醒世观点！,3
偶然的事件、宿命的味道,4
要学习洪哥的思维格局,4
以文载道，务必谨慎。,3
20160512-20160521。借力。人人都想找到那匹马，那有谁来做马？,3
"初中时,听广播介绍的这本书,遂买来看。",5
201607-姑娘是不错的，书的鸡汤浓度过高。,2
小说一般，倒是挺期待左藤健的电影,3
我就想随心所欲过自己所爱的生活。,5
其实我真挺想知道，会给这类书打五星的都是几岁的孩子,3
通过动漫爱上了这个系列啦,5
让未来现在就来。不去做，然并卵。,4
天一他妈该看看。,4
道理虽然老套，也还算清楚，语言犀利，看得出是个敞亮的人。,3
最后两个故事非常惊艳,4
未入,3
治愈系,4
20150804，机场买的，在飞机上就读完了，很感动,5
很多常识早就已经内化到习惯了，看来我真的过了起步阶段，以后就要开始找有深度的书看了。,3
有代沟....不能理解已婚大姐的世界...,3
但凡活成故事里的人，都有着不能抵挡的艰辛以及我们看不见的努力。,5
整体不够通俗易懂，一半弃读。,3
睡前读的 希望 自己能做个 关于通灵的梦吧,3
感觉本人情商长期处于不稳定的波动状态。,3
提高效率不是为了赶时间 而只是希望在有限的时间里让人生体验更丰富宽广。,4
困扰你的并不是事实，而是你的想法。接纳真相吧,5
多读书，多分享，多旅行,4
目前读到的最贴近一代人精神状况的小说集。,4
很赞的书，很好读，一会就看完了，有种举重若轻的味道在,4
温吞水，意义不大的鸡汤文字，居然出了很多本。20160412,2
看过作者的豆瓣日记，通读了一遍全文，写的很真诚，没有溢美,3
逐步阅读这套书。,4
原来以前的帖子，是这本书。苹果书的故事~,5
最喜欢向暖的安放好一颗心，很多公众号看过的～,3
孤独原本就是爱与人生的常态，这话蛮好。,5
有一些公知向的文章我不喜欢看，其他的都挺好的。有她自己的态度，一如既往。,4
我觉得当中的理念是非常值得参考的，同时，“尽信书不如无书”也是真的。,4
前面的部分不知道怎么说 后面快结尾时还有一些感动。可以读读看吧，感觉和抑郁的关系并不多,3
有点单薄。对于她父亲负面形象完全没有涉及。,3
等加藤嘉一签售时在先锋书店二手区看完的，没买。有些很独到的见解,3
我好像也是十七岁的时候知道自己的取向的,5
自白之书 之二 （之一为《生于一九八四》）,4
喜欢洪老师的三观,4
内容不错  可惜我 觉得对于孩子来说太深奥了。。,4
等你有资格再来谈谈博爱吧，怎么活好像都没意思，还不如愚蒙地钻进一件事物不出来了,3
一步步走过来的人生，才是踏实的；一点点垒起来的财富，才是快乐的。谢谢小令君,5
我们可能活在父母的期望里，可能活在别人的流言里，可是，我们也可以选择不过别人指定的生活。,4
好像年纪大了。。。看不下去这种类型的了,3
无敌时间观，无敌世界观，以及无敌小强五人组。。。不解释！,5
太坑娘,1
1416,4
先了解自我，才能更好的了解别人的心理吧~,4
比较诚实的写作心态，虽然仍然有很多念念不忘的名与利，但谁不是呢,3
公司采购的样书，我大体看了看，标题都好，内文有些刻意,3
       这是一本很奇妙的书，关键在于你会运用到它，认真去触摸它的美。,5
看完这本书之后我决定以后不看这类的书 只读史,3
我家仓老师归西了，今天丧丧的我只能靠着朋友的励志书打气了,5
我是来找解决方案破除魔咒的，可迟迟没有搜索到很爽，当然，改变环境是父母脚本的被动技法。,4
读后好想飞上天与太阳肩并肩。,5
显然被豆瓣评分骗了,1
"念念不忘，必有回想。
人来人往，勿失勿忘。

惜缘。",3
以后我的孩子十三岁生日时，请记得提醒我将这本书作为送给他/她的生日礼物,5
里面一句话“一个女人嫁给所爱的男人永远不会是个错误——即使后悔了也不是。”,3
人民文学这套阿婆，粗制滥造。甚至出现过人名前后不一的状况。,2
大概是第一次读这种书的缘故，总觉得仿佛打开了新世界的大门……,4
天呐，就是来骗钱的吧,1
所有偷过的懒，都会变成打脸的巴掌。为了想要的生活，才要更加努力！,5
简单看过，没有特别深刻的印象，如同书名一样“一念之转”就是精华所在了。,3
地铁上翻完，观点并不新鲜，但读来抚慰人心。挺认同越忙越能挤出时间。偶尔读读励志书也挺好。,3
十分喜欢,5
胡迁是我见过最具“喜欢肮脏故事的糟老头子”气质的人，可他长得那么好看，真让人生气。,5
全方位的中规中矩。,3
直到书拿在手里才发现原来题名不是叫“午夜听起来寂静啊”……【。,3
平常看这种类型的书籍少 发现沮丧的时候还是蛮需要的,4
忧郁的人的可爱各不相同，快乐的人都一样！,4
为什么没有0星或者是负数？给作者一星真是太客气了。,1
日式鸡汤，简单美味。不准你加班，精神差不要来上班……应该有很多人会想为松浦弥太郎打工吧。,3
很感动~,5
有几篇让我对生活有了不一样的认识，半夜读了完全震醒的感觉。,4
一個富二代大姐的无病呻吟。,1
忍不住又买了纸质版,4
这不仅仅是关于教育的书，更是认识自己的一本书。茅塞顿开。,5
稀饭你爹地。粗糙的自传，更多是竞选宣传作用。,3
踏进你每一个足迹，却始终看不到你的脚,4
附录不错。,3
活出自己的女性,4
各种举例子加鸡汤语录，看到三分之一弃了,2
父亲的书。体制内。,2
年代过了，大致也理解不能了,4
拼了命，才能尽兴,4
随手传递正能量！,4
复习,5
见面愉快，告别难过，我仍然会笑着祈祷？因为成年人的矛盾被砍断的因缘，会在某一个夏日连起来,4
经典！,5
博士写的书也是够了。明明一句简单的话就可以概括，非得说的绕来绕去的。,2
好多观点我都不赞同。。。,4
虽然我一向是我们家男神的脑残粉，但还是要说，这本书真心不错。,4
只有女性接受教育，才会彻底的改变一代人。,5
看来不能困执于宗教经典的字面意思，想一想，他们并没有矛盾之处，都是共通的。,5
真搞不明白，这么多五星评价都是怎么来的。,3
实际展示了一个文案段子手怎么把10句话变成了一本书……值得借鉴学习参考,3
趁着年轻赶紧积累身份资本，弱链接比强链接有用得多，拒绝鸡汤，爱情与事业一样重要，做规划,5
